Product ID,Product Type,Code,Name,Brand,Description,Cost Price,Retail Price,Sale Price,Calculated Price,Fixed Shipping Price,Free Shipping,Warranty,Weight,Width,Height,Depth,Allow Purchases,Product Visible,Product Availability,Product Inventoried,Stock Level,Low Stock Level,Date Added,Date Modified,Category Details,Images,Page Title,META Keywords,META Description,Product Condition,Product URL,Redirect Old URL?,Product Tax Code,Product Custom Fields
1719,D,,Elevator Belt Template,,Picture is representative of product. Add this product to the cart to download. Fill out template Email completed form to sales@durableblastparts.com  ,0,0,0,0,0,N,,0,0,0,0,Y,Y,,N,0,0,2/8/2020,2/6/2022,"Category Name: Elevator Belt , Category Path: Abrasive Reclaim/Abrasive Reclaim Templates/Elevator Belt ","Product Image File: Elevator_belt_assy_on_pallet__49286.jpg, Product Image URL: http://durableblastparts.com/product_images/r/417/Elevator_belt_assy_on_pallet__49286.jpg",Head Pulley & Boot Pulley Template,"Head Pulley Drive Shaft Template,<ol> <li>Add this product to the cart to download.</li> <li>Fill out template</li> <li>Email completed form to sales@durableblastparts.com&nbsp;</li> </ol>",<ol> <li>Add this product to the cart to download.</li> <li>Fill out template</li> <li>Email completed form to sales@durableblastparts.com&nbsp;</li> </ol>,New,/elevator-belt-template/,,,Vendor=sales@durableblastparts.com
1721,P,DBP-1000004-F,DBP-1000004-F | Tune up kit,Pangborn,"Picture is representative of product. Tune Up Kit Part Numbers in Kits: Blade set 6-000024-8 Control cage 6-000029 Impeller 6-010000 Lock washer 7003108 Impeller bolt 7003914 Spout seal 3060152 Felt seal 3060151 Impeller bolt 7004114 Hi collar lock washer 600962 Wheel MODEL: 15"" Rim Loc DIA OF WHEEL: 15.00"" Blades / VANES: 8 Blades ROTATION: Bidirectional Machine Mfg: Pangborn",0,0,0,0,0,N,,37,12,10,12,Y,Y,,N,0,0,20/08/2020,2/6/2022,"Category Name: Tune Up Kits, Category Path: Wheel Parts/Wheel Internals/Tune Up Kits","Product Image File: Rimlocblade__98331.1595262094.1280.1280__52181.jpg, Product Image URL: http://durableblastparts.com/product_images/e/634/Rimlocblade__98331.1595262094.1280.1280__52181.jpg","Pangborn,DBP-1000004-F | Tune Up Kit","Pangborn,DBP-1000006-C | Blade Set,,Blade Set,Wheel MODEL: 140-2RI,DIA OF WHEEL: 14.00"",Blades / VANES: 8 Blades ,ROTATION: Bidirectional,Machine Mfg: Pangborn",",Tune Up Kit ,Wheel MODEL:15"" Rim Loc,DIA OF WHEEL: 15.00"",Blades / VANES: 8 Blades ,ROTATION: Bidirectional,Machine Mfg: Pangborn",New,/dbp-1000004-f-tune-up-kit/,,,"Vendor=jackie@astechblast.com;""Wheel Model=15"""" Rim Loc"";""Diameter of Wheel=15.00"";""Blades / Vanes=8 Blades"";Rotation=Bidirectional;""Machine Mfg=Pangborn"""
1723,P,DBP-477609-1,"DBP-477609 | 48"" Urethane Finger Seal w/ Insert",BCT Metcast;Wheelabrator,"Picture is representative of product. 4"" x 48"" Urethane Finger Seal, 80 - 90 Duro w/ Spring Steel Insert",0,0,0,0,0,N,,4.33,4,48,0.5,Y,Y,,N,0,0,8/10/2020,2/6/2022,"Category Name: Cabinet Seals, Category Path: Cabinet & Material Handling/Cabinet Seals","Product Image File: Spring_Steel_Polyurethane_Fingers__48932.png, Product Image URL: http://durableblastparts.com/product_images/g/274/Spring_Steel_Polyurethane_Fingers__48932.png|Product Image File: DBP-FingerSeal__56295.1595262195.1280.1280__90502.jpg, Product Image URL: http://durableblastparts.com/product_images/h/149/DBP-FingerSeal__56295.1595262195.1280.1280__90502.jpg","BCT Metcast;Wheelabrator,DBP-477609 | 48"" Urethane Finger Seal","BCT Metcast;Wheelabrator,DBP-680472 | 48"" Urethane Finger Seal,4"" x 48"" Urethane Finger Seal, 80 - 90 Duro","4"" x 48"" Urethane Finger Seal, 80 - 90 Duro w/ spring steel insert",New,/dbp-477609-48-urethane-finger-seal-w-insert/,,,Vendor= sales@beltservice.com
1724,P,DBP-5000838,"Goff, Base Plate 25/30",Goff,"Goff Wheel Housing Base Plate, 25/30 HP Foot Mounted Motors",0,0,0,0,0,N,Fit & Form,74,24.5,0.62,27,Y,Y,,N,0,0,8/12/2020,2/6/2022,"Category Name: Housing, Category Path: Wheel Parts/Housing|Category Name: Wheel Parts Fast Finder, Category Path: Wheel Parts/Wheel Parts Fast Finder","Product Image File: Blast-Wheel_Assy__10298.jpg, Product Image URL: http://durableblastparts.com/product_images/k/130/Blast-Wheel_Assy__10298.jpg","Goff, Base Plate 25/30",,"Buy now online,  Low Cost Goff Wheel Base Plate, 5000838, Blast Wheel Base Plate,",New,/goff-base-plate-25-30/,,,Vendor=accounting@planbtulsa.com
1725,P,DBP-52-0000268,"Retainer, Cage, Inner, 12"" Blast Wheel, Goff Style",Goff,"52-0000268, Retainer, Cage Cage, Inner, 12"" Blast Wheel, Goff Style",0,0,0,0,0,N,Fit & Form,4,6,0.25,6,Y,Y,,N,0,0,8/12/2020,2/6/2022,"Category Name: Housing, Category Path: Wheel Parts/Housing|Category Name: Wheel Parts Fast Finder, Category Path: Wheel Parts/Wheel Parts Fast Finder","Product Image File: 0000268__62749.jpg, Product Image URL: http://durableblastparts.com/product_images/a/389/0000268__62749.jpg","52-0000268, Retainer, Cage Cage, Inner, 12"" Blast Wheel, Goff Style",,"Buy now online, 52-0000268, Retainer, Cage Cage, Inner, 12"" Blast Wheel, Goff Style",New,/retainer-cage-inner-12-blast-wheel-goff-style/,,,Vendor=accounting@planbtulsa.com
1726,P,DBP-52-0000268-HT,"Retainer, Cage, Inner, HT, 12"" Blast Wheel, Goff Style",Goff,"52-0000268, Retainer, Cage Cage, Inner, Heat Treated, 12"" Blast Wheel, Goff Style",0,0,0,0,0,N,Fit & Form,4,6,0.25,6,Y,Y,,N,0,0,8/12/2020,2/6/2022,"Category Name: Housing, Category Path: Wheel Parts/Housing|Category Name: Wheel Parts Fast Finder, Category Path: Wheel Parts/Wheel Parts Fast Finder","Product Image File: 0000268__62749.1607444282.1280.1280__25346.jpg, Product Image URL: http://durableblastparts.com/product_images/q/323/0000268__62749.1607444282.1280.1280__25346.jpg","52-0000268-HT, Retainer, Cage Cage, Inner, Heat Treated, 12"" Blast Wheel, Goff Style",,"Buy now online, 52-0000268-HT, Retainer, Cage Cage, Inner, Heat Treated, 12"" Blast Wheel, Goff Style",New,/retainer-cage-inner-ht-12-blast-wheel-goff-style/,,,Vendor=accounting@planbtulsa.com
1727,P,DBP-55-5000136,"Impeller, 7 Position, 12"" Blast Wheel, Goff Style",Goff,"55-5000136, Impeller, 7 Position, 12"" Blast Wheel, Goff Style",0,0,0,0,0,N,Fit & Form,2,4,4,4,Y,Y,,N,0,0,8/12/2020,2/6/2022,"Category Name: Wheel Internals, Category Path: Wheel Parts/Wheel Internals|Category Name: Wheel Parts Fast Finder, Category Path: Wheel Parts/Wheel Parts Fast Finder","Product Image File: 5000136_C__95681.jpg, Product Image URL: http://durableblastparts.com/product_images/m/129/5000136_C__95681.jpg","55-5000136, Impeller, 7 Position, 12"" Blast Wheel, Goff Style",,"Buy now online, 55-5000136, Impeller, 7 Position, 12"" Blast Wheel, Goff Style",New,/impeller-7-position-12-blast-wheel-goff-style/,,,Vendor=accounting@planbtulsa.com
1728,P,DBP-55-5000137,"Centering Plate, 12'' Blast Wheel, Goff Style",Goff,"55-5000137, Centering Plate, 12'' Blast Wheel, Goff Style",0,0,0,0,0,N,Fit & Form,2,4,2,4,Y,Y,,N,0,0,8/12/2020,2/6/2022,"Category Name: Wheel Internals, Category Path: Wheel Parts/Wheel Internals|Category Name: Wheel Parts Fast Finder, Category Path: Wheel Parts/Wheel Parts Fast Finder","Product Image File: 5000137_C__79057.jpg, Product Image URL: http://durableblastparts.com/product_images/c/230/5000137_C__79057.jpg","55-5000137, Centering Plate, 12'' Blast Wheel, Goff Style",,"Buy now online, 55-5000137, Centering Plate, 12'' Blast Wheel, Goff Style",New,/centering-plate-12-blast-wheel-goff-style/,,,Vendor=accounting@planbtulsa.com
1729,P,DBP-55-5000138,"Cage, Control, 40 Deg., 12"" Blast Wheel, Goff Style",Goff,"55-5000138, Cage, Control, 40 Deg., 12"" Blast Wheel, Goff Style",0,0,0,0,0,N,Fit & Form,7,4,4,4,Y,Y,,N,0,0,8/12/2020,2/6/2022,"Category Name: Wheel Internals, Category Path: Wheel Parts/Wheel Internals|Category Name: Wheel Parts Fast Finder, Category Path: Wheel Parts/Wheel Parts Fast Finder","Product Image File: 5000138_B__41699.jpg, Product Image URL: http://durableblastparts.com/product_images/d/879/5000138_B__41699.jpg","55-5000138, Cage, Control, 40 Deg., 12"" Blast Wheel, Goff Style",,"Buy now online, 55-5000138, Cage, Control, 40 Deg., 12"" Blast Wheel, Goff Style",New,/cage-control-40-deg-12-blast-wheel-goff-style/,,,Vendor=accounting@planbtulsa.com
1730,P,DBP-55-5000303,"Spout, 90 Deg., 12"" Blast Wheel, Goff/RimLoc Style",Goff,"55-5000303, Spout, 90 Deg., 12"" Blast Wheel, Goff/RimLoc Style",0,0,0,0,0,N,Fit & Form,6,4,4,7,Y,Y,,N,0,0,8/12/2020,2/6/2022,"Category Name: Housing, Category Path: Wheel Parts/Housing|Category Name: Wheel Parts Fast Finder, Category Path: Wheel Parts/Wheel Parts Fast Finder","Product Image File: 5000303__35764.jpg, Product Image URL: http://durableblastparts.com/product_images/m/769/5000303__35764.jpg","55-5000303, Spout, 90 Deg., 12"" Blast Wheel, Goff, RimLoc",,"Buy now online, 55-5000303, Spout, 90 Deg., 12"" Blast Wheel, Goff, RimLoc",New,/spout-90-deg-12-blast-wheel-goff-rimloc-style/,,,Vendor=accounting@planbtulsa.com
