Product ID,Product Type,Code,Name,Brand,Description,Cost Price,Retail Price,Sale Price,Calculated Price,Fixed Shipping Price,Free Shipping,Warranty,Weight,Width,Height,Depth,Allow Purchases,Product Visible,Product Availability,Product Inventoried,Stock Level,Low Stock Level,Date Added,Date Modified,Category Details,Images,Page Title,META Keywords,META Description,Product Condition,Product URL,Redirect Old URL?,Product Tax Code,Product Custom Fields
217,P,DBP-K2529,DBP-K2529,Goyen  Replacements,"Picture is representative of product.The K2529 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 1"" port size RCAC/CAC 25 millenium valve and comes with a nylon diaphragm, o-ring, pin, and spring.",0,0,0,0,0,N,,1,4,1,4,Y,Y,,N,0,0,23/06/2020,2/6/2022,"Category Name: Pulse Valves, Category Path: Dust Collector/Pulse Valves","Product Image File: DBP-K2529__92309.JPG, Product Image URL: http://durableblastparts.com/product_images/i/418/DBP-K2529__92309.JPG","Goyen  Replacements,DBP-K2529","Goyen  Replacements,DBP-K2529,The K2529 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 1"" port size RCAC/CAC 25 millenium valve and comes with a nylon diaphragm, o-ring, pin, and spring.","The K2529 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 1"" port size RCAC/CAC 25 millenium valve and comes with a nylon diaphragm, o-ring, pin, and spring.",New,/dbp-k2529/,,,Vendor=Sales@baghouseamerica.com 
218,P,DBP-K0580,DBP-K0580,Goyen  Replacements,"Picture is representative of product.Replacement for Goyen® K0580. The K0580 repair kit is made for the Pentair® Goyen® 5D2 solenoid valves and comes with an armature, small spring, clip, o ring, and three screws.",0,0,0,0,0,N,,0.5,1.5,2,4,Y,Y,,N,0,0,23/06/2020,2/6/2022,"Category Name: Pulse Valves, Category Path: Dust Collector/Pulse Valves","Product Image File: DBP-K0580__37400.jpg, Product Image URL: http://durableblastparts.com/product_images/k/787/DBP-K0580__37400.jpg","Goyen  Replacements,DBP-K0580","Goyen  Replacements,DBP-K0580,Replacement for Goyen® K0580. The K0580 repair kit is made for the Pentair® Goyen® 5D2 solenoid valves and comes with an armature, small spring, clip, o ring, and three screws.","Replacement for Goyen® K0580. The K0580 repair kit is made for the Pentair® Goyen® 5D2 solenoid valves and comes with an armature, small spring, clip, o ring, and three screws.",New,/dbp-k0580/,,,Vendor=Sales@baghouseamerica.com 
219,P,DBP-K2003,DBP-K2003,Goyen  Replacements,"Picture is representative of product.Replacement Pentair® Goyen® K2003. The K2003 repair kit fits the F series, T Series, and DD Series Goyen 3/4"" port size RCA/CA 20 valve and comes with a star shaped diaphragm with nylon center and stainless steel spring. It also fits the Asco 8353 Valve. The bleed hole is located in the back of the diaphragm.",0,0,0,0,0,N,,0.5,4,1,4,Y,Y,,N,0,0,23/06/2020,2/6/2022,"Category Name: Pulse Valves, Category Path: Dust Collector/Pulse Valves","Product Image File: DBP-K2003__89129.jpg, Product Image URL: http://durableblastparts.com/product_images/t/665/DBP-K2003__89129.jpg","Goyen  Replacements,DBP-K2003","Goyen  Replacements,DBP-K2003,Replacement Pentair® Goyen® K2003. The K2003 repair kit fits the F series, T Series, and DD Series Goyen 3/4"" port size RCA/CA 20 valve and comes with a star shaped diaphragm with nylon center and stainless steel spring. It also fits the Asco 8353 Valve. The bleed hole is located in the back of the diaphragm.","Replacement Pentair® Goyen® K2003. The K2003 repair kit fits the F series, T Series, and DD Series Goyen 3/4"" port size RCA/CA 20 valve and comes with a star shaped diaphragm with nylon center and stainless steel spring. It also fits the Asco 8353 Valve. The bleed hole is located in the back of the diaphragm.",New,/dbp-k2003/,,,Vendor=Sales@baghouseamerica.com 
220,P,DBP-K3500,DBP-K3500,Goyen  Replacements,"Picture is representative of product.The K3500 repair kit comes with a circular diaphragm, nylon seat, and spring. It fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® valve.",0,0,0,0,0,N,,0.5,3,1,3,Y,Y,,N,0,0,23/06/2020,2/6/2022,"Category Name: Pulse Valves, Category Path: Dust Collector/Pulse Valves","Product Image File: DBP-K3500__35685.jpg, Product Image URL: http://durableblastparts.com/product_images/t/303/DBP-K3500__35685.jpg","Goyen  Replacements,DBP-K3500","Goyen  Replacements,DBP-K3500,The K3500 repair kit comes with a circular diaphragm, nylon seat, and spring. It fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® valve.","The K3500 repair kit comes with a circular diaphragm, nylon seat, and spring. It fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® valve.",New,/dbp-k3500/,,,Vendor=Sales@baghouseamerica.com 
221,P,DBP-K4501,DBP-K4501,Goyen  Replacements,"Picture is representative of product.The K4501 repair kit fits the 1 1/2"" port size RCA/CA 45 T Series, F Series, DD Series Pentair® Goyen® valve and comes with a large circular diaphragm, nylon seat, small circular diaphragm, and (2) stainless steel springs.",0,0,0,0,0,N,,0.5,4,1,4,Y,Y,,N,0,0,23/06/2020,2/6/2022,"Category Name: Pulse Valves, Category Path: Dust Collector/Pulse Valves",,"Goyen  Replacements,DBP-K4501","Goyen  Replacements,DBP-K4501,The K4501 repair kit fits the 1 1/2"" port size RCA/CA 45 T Series, F Series, DD Series Pentair® Goyen® valve and comes with a large circular diaphragm, nylon seat, small circular diaphragm, and (2) stainless steel springs.","The K4501 repair kit fits the 1 1/2"" port size RCA/CA 45 T Series, F Series, DD Series Pentair® Goyen® valve and comes with a large circular diaphragm, nylon seat, small circular diaphragm, and (2) stainless steel springs.",New,/dbp-k4501/,,,Vendor=Sales@baghouseamerica.com 
222,P,DBP-K0380,DBP-K0380,Goyen  Replacements,"Picture is representative of product.Replacement for Pentair® Goyen® K0380 The K0380 repair kit is made for the Pentair® Goyen® 3D2 solenoid valves and comes with an armature, small spring, clip, o ring, and three screws.",0,0,0,0,0,N,,0.5,1.25,1.25,4,Y,Y,,N,0,0,23/06/2020,2/6/2022,"Category Name: Pulse Valves, Category Path: Dust Collector/Pulse Valves","Product Image File: DBP-K0380__53521.jpg, Product Image URL: http://durableblastparts.com/product_images/s/824/DBP-K0380__53521.jpg","Goyen  Replacements,DBP-K0380","Goyen  Replacements,DBP-K0380,Replacement for Pentair® Goyen® K0380 The K0380 repair kit is made for the Pentair® Goyen® 3D2 solenoid valves and comes with an armature, small spring, clip, o ring, and three screws.","Replacement for Pentair® Goyen® K0380 The K0380 repair kit is made for the Pentair® Goyen® 3D2 solenoid valves and comes with an armature, small spring, clip, o ring, and three screws.",New,/dbp-k0380/,,,Vendor=Sales@baghouseamerica.com 
223,P,DBP-K2000,DBP-K2000,Goyen  Replacements,"Picture is representative of product.The K2000 (M1204B) repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 1"" port size RCA/CA 20 valve and comes with a square diaphragm, nylon center, and stainless steel spring.",0,0,0,0,0,N,,0.5,4,1,4,Y,Y,,N,0,0,23/06/2020,2/6/2022,"Category Name: Pulse Valves, Category Path: Dust Collector/Pulse Valves","Product Image File: DBP-K2000__25767.JPG, Product Image URL: http://durableblastparts.com/product_images/o/291/DBP-K2000__25767.JPG","Goyen  Replacements,DBP-K2000","Goyen  Replacements,DBP-K2000,The K2000 (M1204B) repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 1"" port size RCA/CA 20 valve and comes with a square diaphragm, nylon center, and stainless steel spring.","The K2000 (M1204B) repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 1"" port size RCA/CA 20 valve and comes with a square diaphragm, nylon center, and stainless steel spring.",New,/dbp-k2000/,,,Vendor=Sales@baghouseamerica.com 
224,P,DBP-K2016,DBP-K2016,Goyen  Replacements,"Picture is representative of product.The K2016 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 3/4"" port size RCAC/CAC 20 millenium valve and comes with a circular diaphragm with nylon center, o-ring, pin, and stainless steel spring.",0,0,0,0,0,N,,0.5,3,1,3,Y,Y,,N,0,0,23/06/2020,2/6/2022,"Category Name: Pulse Valves, Category Path: Dust Collector/Pulse Valves","Product Image File: DBP-K2016__25719.jpg, Product Image URL: http://durableblastparts.com/product_images/a/385/DBP-K2016__25719.jpg","Goyen  Replacements,DBP-K2016","Goyen  Replacements,DBP-K2016,The K2016 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 3/4"" port size RCAC/CAC 20 millenium valve and comes with a circular diaphragm with nylon center, o-ring, pin, and stainless steel spring.","The K2016 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 3/4"" port size RCAC/CAC 20 millenium valve and comes with a circular diaphragm with nylon center, o-ring, pin, and stainless steel spring.",New,/dbp-k2016/,,,Vendor=Sales@baghouseamerica.com 
225,P,DBP-K4503,DBP-K4503,Goyen  Replacements,"Picture is representative of product.Replacement for Pentair® Goyen® K4503. The K4503 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 1 1/2"" port size RCA/CA 45 valve and comes with a circular diaphragm, nylon seat, small circular diaphragm and (2) stainless steel springs. The diaphragms are made for high temperature applications.",0,0,0,0,0,N,,0.5,4,1,4,Y,Y,,N,0,0,23/06/2020,2/6/2022,"Category Name: Pulse Valves, Category Path: Dust Collector/Pulse Valves","Product Image File: DBP-K4503__00387.jpg, Product Image URL: http://durableblastparts.com/product_images/f/234/DBP-K4503__00387.jpg","Goyen  Replacements,DBP-K4503","Goyen  Replacements,DBP-K4503,Replacement for Pentair® Goyen® K4503. The K4503 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 1 1/2"" port size RCA/CA 45 valve and comes with a circular diaphragm, nylon seat, small circular diaphragm and (2) stainless steel springs. The diaphragms are made for high temperature applications.","Replacement for Pentair® Goyen® K4503. The K4503 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen® 1 1/2"" port size RCA/CA 45 valve and comes with a circular diaphragm, nylon seat, small circular diaphragm and (2) stainless steel springs. The diaphragms are made for high temperature applications.",New,/dbp-k4503/,,,Vendor=Sales@baghouseamerica.com 
226,P,DBP-K4504,DBP-K4504,Goyen  Replacements,"Picture is representative of product.The K4504 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen®1 1/2"" port size RCA/CA 45 valve and comes with a circular diaphragm, nylon seat, small circular diaphragm and (2) stainless steel springs. The diaphragms are made for high temperature applications.",0,0,0,0,0,N,,0.5,5,1,5,Y,Y,,N,0,0,23/06/2020,2/6/2022,"Category Name: Pulse Valves, Category Path: Dust Collector/Pulse Valves","Product Image File: DBP-K4504__56294.jpg, Product Image URL: http://durableblastparts.com/product_images/i/359/DBP-K4504__56294.jpg","Goyen  Replacements,DBP-K4504","Goyen  Replacements,DBP-K4504,The K4504 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen®1 1/2"" port size RCA/CA 45 valve and comes with a circular diaphragm, nylon seat, small circular diaphragm and (2) stainless steel springs. The diaphragms are made for high temperature applications.","The K4504 repair kit fits the MM Series, F series, T Series, and DD Series Pentair® Goyen®1 1/2"" port size RCA/CA 45 valve and comes with a circular diaphragm, nylon seat, small circular diaphragm and (2) stainless steel springs. The diaphragms are made for high temperature applications.",New,/dbp-k4504/,,,Vendor=Sales@baghouseamerica.com 
